1017,10,2141,1
1017,10,34909,2
199D,10,2135,1
199D,10,34903,2
8000,10,1273,1
8000,10,34041,2
8001,10,1251,1
8001,10,34019,2
8002,10,1252,1
8002,10,34020,2
8003,10,1253,1
8003,10,34021,2
8004,10,1254,1
8004,10,34022,2
8006,10,1256,1
8006,10,34024,2
8007,10,1257,1
8007,10,34025,2
8008,10,1258,1
8008,10,34026,2
8009,10,1259,1
8009,10,34027,2
8009,31,1260,1
8009,31,34028,2
8010,10,798,1
8010,10,33566,2
8010,21,1737,1
8010,21,34505,2
8013,10,800,1
8013,10,33568,2
8013,21,1544,1
8013,21,34312,2
8013,22,1542,1
8013,22,34310,2
8013,41,2011,1
8013,41,34779,2
8014,10,801,1
8014,10,33569,2
8015,10,1345,1
8015,10,34113,2
8015,21,2029,1
8015,21,34797,2
8016,10,1346,1
8016,10,34114,2
8017,10,1261,1
8017,10,34029,2
8040,10,406,1
8040,10,33174,2
8043,10,407,1
8043,10,33175,2
8047,10,408,1
8047,10,33176,2
8047,31,409,1
8047,31,33177,2
8047,41,410,1
8047,41,33178,2
8047,51,411,1
8047,51,33179,2
8050,10,412,1
8050,10,33180,2
8050,21,413,1
8050,21,33181,2
8050,31,415,1
8050,31,33183,2
8050,32,416,1
8050,32,33184,2
8055,10,414,1
8055,10,33182,2
8055,51,417,1
8055,51,33185,2
8060,10,418,1
8060,10,33186,2
8062,10,420,1
8062,10,33188,2
8065,10,421,1
8065,10,33189,2
8100,10,1262,1
8100,10,34030,2
8194,10,805,1
8194,10,33573,2
8199,10,807,1
8199,10,33575,2
819A,10,803,1
819A,10,33571,2
819R,10,804,1
819R,10,33572,2
8200,10,1263,1
8200,10,34031,2
8213,10,572,1
8213,10,33340,2
8213,21,1960,1
8213,21,34728,2
8214,10,573,1
8214,10,33341,2
8215,10,574,1
8215,10,33342,2
8300,10,1264,1
8300,10,34032,2
8400,10,1265,1
8400,10,34033,2
846M,10,422,1
846M,10,33190,2
847J,10,1342,1
847J,10,34110,2
847J,41,1343,1
847J,41,34111,2
847P,10,423,1
847P,10,33191,2
847P,41,424,1
847P,41,33192,2
847P,42,1424,1
847P,42,34192,2
848L,10,808,1
848L,10,33576,2
8500,10,1267,1
8500,10,34035,2
8528,10,575,1
8528,10,33343,2
8538,10,1359,1
8538,10,34127,2
8542,10,1360,1
8542,10,34128,2
8544,10,430,1
8544,10,33198,2
8545,10,1364,1
8545,10,34132,2
8548,10,578,1
8548,10,33346,2
8549,10,580,1
8549,10,33348,2
8594,10,432,1
8594,10,33200,2
8594,21,433,1
8594,21,33201,2
8594,41,434,1
8594,41,33202,2
8600,10,1432,1
8600,10,34200,2
8600,21,1738,1
8600,21,34506,2
8600,22,2054,1
8600,22,34822,2
8622,10,438,1
8622,10,33206,2
8622,31,439,1
8622,31,33207,2
8622,42,441,1
8622,42,33209,2
8677,10,443,1
8677,10,33211,2
8677,31,444,1
8677,31,33212,2
8686,10,446,1
8686,10,33214,2
8696,10,448,1
8696,10,33216,2
8696,41,450,1
8696,41,33218,2
8809,10,453,1
8809,10,33221,2
888P,10,454,1
888P,10,33222,2
9004,10,871,1
9004,10,33639,2
9005,10,872,1
9005,10,33640,2
9005,41,1440,1
9005,41,34208,2
9005,42,1934,1
9005,42,34702,2
9006,10,874,1
9006,10,33642,2
9008,10,875,1
9008,10,33643,2
9008,21,1539,1
9008,21,34307,2
9008,41,876,1
9008,41,33644,2
9009,10,877,1
9009,10,33645,2
9011,10,878,1
9011,10,33646,2
9011,21,1768,1
9011,21,34536,2
9012,10,1268,1
9012,10,34036,2
9014,10,1425,1
9014,10,34193,2
9014,42,1426,1
9014,42,34194,2
9015,10,1269,1
9015,10,34037,2
9018,10,1271,1
9018,10,34039,2
9019,10,1433,1
9019,10,34201,2
9020,10,1434,1
9020,10,34202,2
9022,10,1272,1
9022,10,34040,2
9023,10,1437,1
9023,10,34205,2
9031,10,879,1
9031,10,33647,2
9032,10,880,1
9032,10,33648,2
9032,21,1815,1
9032,21,34583,2
9034,10,881,1
9034,10,33649,2
9047,10,883,1
9047,10,33651,2
9090,10,884,1
9090,10,33652,2
9162,10,1365,1
9162,10,34133,2
917H,10,456,1
917H,10,33224,2
917M,10,1366,1
917M,10,34134,2
917M,31,1367,1
917M,31,34135,2
9181,10,885,1
9181,10,33653,2
9186,10,887,1
9186,10,33655,2
9188,10,809,1
9188,10,33577,2
9188,42,1711,1
9188,42,34479,2
9191,10,810,1
